tc_id,source_file,original_entry_detail,extracted_token,adjudication_class,resolution_requirement,position_info,verifier_candidates,rationale,required_decision
ALTBASIC_CNT_004,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 연락처 메뉴 focus > Press Right,연락처 메뉴 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 연락처 추가하기 버튼(+),later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_005,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 연락처 추가하기 버튼(+) focus > Press Right,연락처 추가하기 버튼(+) focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 연락처 검색 버튼,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_006,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,"press_key:1. 메뉴, 연락처 추가하기, 검색 버튼 focus > Press Down","메뉴, 연락처 추가하기, 검색 버튼 focus",NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 새 연락처 만들기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_048,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 사진 찍기 focus > Press Down,사진 찍기 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 사진 선택,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_049,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 사진 변경 focus > Press Down,사진 변경 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 취소,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_050,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 이름 입력칸 focus > Press Right,이름 입력칸 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 확장 버튼(▽),later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_053,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 이름 입력칸 focus > Press Down,이름 입력칸 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 전화번호 입력칸,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_054,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 전화 번호 입력칸 focus > Press Down,전화 번호 입력칸 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 메일 입력칸,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_055,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 메일 입력칸 focus > Press Down,메일 입력칸 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 항목 더보기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_065,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:그룹 만들기 텍스트 입력창 focus > Press Down,그룹 만들기 텍스트 입력창 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 취소,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_068,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:메뉴 focus > Press Right,메뉴 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 추가,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_069,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:추가 focus > Press Right,추가 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 더보기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_070,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,"press_key:메뉴, 추가, 더보기 focus > Press Down","메뉴, 추가, 더보기 focus",NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 연락처 추가하기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_072,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:뒤로가기 focus > Press Right,뒤로가기 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 검색,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_077,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 내 정보 focus > Press Up/Down,내 정보 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 뒤로가기 / 연락처 정보,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_CNT_079,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 내부 저장소 focus > Press Up,내부 저장소 focus,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 뒤로가기,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_PFW_010,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 포토 슬라이드쇼에 포커싱 활성화 > 왼쪽 버튼 누름 > press_key:2. 오른쪽 버튼 누름 > press_key:3. 위쪽 버튼 누름,포토 슬라이드쇼에 포커싱 활성화,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 왼쪽 화살표 / 오른쪽 화살표 / 편집,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_PFW_011,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 왼쪽 화살표에 포커싱 > 왼쪽 버튼 누름 > press_key:2. 왼쪽 화살표에 포커싱 > 위쪽 버튼 누름 > press_key:3. 우측 상단 '설정' 아이콘에 포커싱 > 위쪽 버튼 누름 > press_key:4. 왼쪽 화살표에 포커싱 > 아래쪽 버튼 누름,왼쪽 화살표에 포커싱,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 설정,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_PFW_011,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 왼쪽 화살표에 포커싱 > 왼쪽 버튼 누름 > press_key:2. 왼쪽 화살표에 포커싱 > 위쪽 버튼 누름 > press_key:3. 우측 상단 '설정' 아이콘에 포커싱 > 위쪽 버튼 누름 > press_key:4. 왼쪽 화살표에 포커싱 > 아래쪽 버튼 누름,왼쪽 화살표에 포커싱,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 설정,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_PFW_011,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 왼쪽 화살표에 포커싱 > 왼쪽 버튼 누름 > press_key:2. 왼쪽 화살표에 포커싱 > 위쪽 버튼 누름 > press_key:3. 우측 상단 '설정' 아이콘에 포커싱 > 위쪽 버튼 누름 > press_key:4. 왼쪽 화살표에 포커싱 > 아래쪽 버튼 누름,우측 상단 '설정' 아이콘에 포커싱,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 설정,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_PFW_011,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. 왼쪽 화살표에 포커싱 > 왼쪽 버튼 누름 > press_key:2. 왼쪽 화살표에 포커싱 > 위쪽 버튼 누름 > press_key:3. 우측 상단 '설정' 아이콘에 포커싱 > 위쪽 버튼 누름 > press_key:4. 왼쪽 화살표에 포커싱 > 아래쪽 버튼 누름,왼쪽 화살표에 포커싱,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 설정,later executable step -> focus is a position acted upon,device_navigation
ALTBASIC_PFW_022,doc/[THOR 2] ALT Basic Test Case_FULL.xlsx,press_key:1. Photo sildeshow 편집 > 뒤로가기 포커스 > Press right,뒤로가기 포커스,NAVIGATE_TO_FOCUS,NAVIGATE_TO_FOCUS,exec_after,literal: 저장,later executable step -> focus is a position acted upon,device_navigation
